MRI_session,AP_GSR,PA_GSR,AP_NoGSR,PA_NoGSR,SCI_GSR,SCI_NoGSR
23547,-5.097472972,-5.141713499,-5.286141886,-4.787151831,-5.119593235,-5.036646859
23551,-3.123926546,-5.485905578,-4.511212287,-3.42226835,-4.304916062,-3.966740318
23556,-3.093243552,-1.698922537,1.234078973,-0.866803844,-2.396083044,0.183637564
23559,-5.760590967,-5.264797455,-5.70236144,-2.636217061,-5.512694211,-4.169289251
23567,-5.963120592,-2.431753338,-6.188716723,-2.854845679,-4.197436965,-4.521781201
23572,-6.117287431,-5.425021849,-5.987335679,-2.49981905,-5.77115464,-4.243577365
23576,-4.126692196,-3.207284391,-4.393373566,-4.030790657,-3.666988293,-4.212082111
23582,-5.566049739,-3.371808714,-4.976726319,-2.497703443,-4.468929227,-3.737214881
23584,-4.470280524,-5.973315516,-1.452081622,-3.412471768,-5.22179802,-2.432276695
23585,-6.141955003,-8.243999548,-8.565943593,-9.181275941,-7.192977275,-8.873609767
23617,-4.147930656,-6.211730864,-5.353907967,-10.04667805,-5.17983076,-7.700293008
23618,-8.087139559,-5.035286848,-7.443437541,-5.441084702,-6.561213203,-6.442261122
23620,-5.581709042,-6.897522048,-7.284819572,-5.607214377,-6.239615545,-6.446016974
23621,-3.279438252,-7.293172158,1.682982614,-6.287643958,-5.286305205,-2.302330672
23630,-5.039351924,-4.679994178,-5.288999515,-5.028542588,-4.859673051,-5.158771051
23640,-4.947420615,-4.720427714,-4.141347929,-5.018218163,-4.833924165,-4.579783046
23643,-9.073544379,-3.890035294,-3.764565176,-1.850310893,-6.481789837,-2.807438035
23644,-6.333455918,-4.359331187,-5.195585865,-2.095579598,-5.346393552,-3.645582731
23646,-5.416236133,-7.029397176,-1.105222674,-4.551701679,-6.222816655,-2.828462176
23650,-4.704522264,-5.092783866,-1.352215771,-4.132129734,-4.898653065,-2.742172752
23654,-3.779392497,-6.974982234,-2.237890952,-7.614068939,-5.377187366,-4.925979945
23656,-1.578951669,-2.50198979,-0.261139714,-2.22498639,-2.040470729,-1.243063052
23659,-2.254767328,-6.221519673,-2.513717602,-5.638035955,-4.238143501,-4.075876778
23665,-6.360804092,-5.8285039,-6.629282773,-5.116595047,-6.094653996,-5.87293891
23687,-7.418051909,-9.186928014,-6.652768629,-9.746908546,-8.302489962,-8.199838587
23688,-5.129416455,-5.999603678,-6.625251207,-2.120478347,-5.564510067,-4.372864777
23693,-6.731150572,-4.678999079,-6.418998076,-0.764782154,-5.705074825,-3.591890115
23705,-4.982753873,-4.29761026,-4.587004262,-2.399261914,-4.640182067,-3.493133088
23737,-4.510884515,-2.200173158,-4.943895793,-3.888239302,-3.355528837,-4.416067548
23738,-4.657469388,-3.753937672,-8.384560738,-4.895603512,-4.20570353,-6.640082125
23740,-5.72590097,-5.324331701,-6.042158906,-4.805811485,-5.525116336,-5.423985195
23754,-7.227411431,-5.551398401,-2.432152431,0.10096747,-6.389404916,-1.16559248
23763,-2.795306157,-6.382490808,-5.680942764,-7.199723142,-4.588898483,-6.440332953
23767,-5.986045485,-7.432619205,-5.443067661,-7.536233311,-6.709332345,-6.489650486
23774,-5.162499665,-7.030900182,-4.826812518,-5.335339332,-6.096699923,-5.081075925
23811,-5.752537689,-8.849016949,-5.835422385,-8.006997701,-7.300777319,-6.921210043
23817,-4.186881831,-3.952349314,-3.985169774,-3.591845717,-4.069615573,-3.788507745
